	Annuity	BNDX	BND	VXUS	VTI	TW50
2007-12-31	0.027	0.053	0.053	0.182	0.0536	0.11481
2008-12-31	0.027	0.056	0.075	-0.453	-0.3681	-0.4294
2009-12-31	0.027	0.051	0.0346	0.433	0.2873	0.7400
2010-12-31	0.027	0.046	0.0625	0.119	0.1728	0.1310
2011-12-31	0.027	0.054	0.0786	-0.135	0.01 	-0.1548
2012-12-31	0.027	0.057	0.0399	0.1827	0.1645	0.1271
2013-12-31	0.027	-0.001	-0.0211	0.1487	0.3348	0.1191
2014-12-31	0.027	0.088	0.0587	-0.0484	0.1257	0.1761
2015-12-31	0.027	0.011	0.0049	-0.041	0.0037	-0.0569
2016-12-31	0.027	0.0463	0.0254	0.0471	0.1274	0.1912
2017-12-31	0.027	0.0237	0.0354	0.2749	0.2117	0.1883
2018-12-31	0.027	0.0285	-0.0008	-0.1449	-0.052	-0.044
2019-12-31	0.027	0.0791	0.0882	0.2184	0.308	0.337
