	Annuity	BNDX	BND	VXUS	VTI	VNQI	VNQ
2008-12-31	0.022	0.056	0.075	-0.453	-0.3681	-0.407	-0.3706
2009-12-31	0.022	0.051	0.0346	0.433	0.2873	0.4125	0.3017
2010-12-31	0.022	0.046	0.0625	0.119	0.1728	0.1321	0.2837
2011-12-31	0.022	0.054	0.0786	-0.135	0.01 	-0.167	0.086
2012-12-31	0.022	0.057	0.0399	0.1827	0.1645	0.4254	0.1766
2013-12-31	0.022	-0.001	-0.0211	0.1487	0.3348	0.0247	0.0234
2014-12-31	0.022	0.088	0.0587	-0.0484	0.1257	0.0229	0.3041
2015-12-31	0.022	0.011	0.0049	-0.041	0.0037	-0.0185	0.024
2016-12-31	0.022	0.0463	0.0254	0.0471	0.1274	0.0195	0.0853
2017-12-31	0.022	0.0237	0.0354	0.2749	0.2117	0.2702	0.049
