	Annuity	BNDX	BND	VXUS	VTI	TW50	VNQI	VNQ
Annuity	1.0	0	0	0	0	0	0	0
BNDX	0	1.0	0	0	0	0	0	0
BND	0	0	1.0	0	0	0	0	0
VXUS	0	0	0	1.0	0	0	0	0
VTI	0	0	0	0	1.0	0	0	0
TW50	0	0	0	0	0	1.0	0	0
VNQI	0	0	0	0	0	0	1.0	0
VNQ	0	0	0	0	0	0	0	1.0
B70S30	0.0	0.35	0.35	0.15	0.15	0	0	0
B50S50	0.0	0.25	0.25	0.25	0.25	0	0	0
B30S70	0.0	0.15	0.15	0.35	0.35	0	0	0
A30B50S20	0.3	0.25	0.25	0.1	0.1	0	0	0
A30B45S25	0.3	0.225	0.225	0.1	0.1	0.05	0.0	0.0
A30B45S15R10	0.3	0.225	0.225	0.05	0.05	0.05	0.05	0.05
A25B50S15R10	0.25	0.25	0.25	0.075	0.075	0.0	0.05	0.05
